C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security\pom.xml;Dependency {groupId=com.macro.mall, artifactId=mall-common, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security\pom.xml;Dependency {groupId=io.jsonwebtoken, artifactId=jjwt, version=null, type=jar};USED;2
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-data-redis, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-security, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-web, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-test, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-actuator, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-configuration-processor, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-aop, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\cache\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-lang, version=null, type=jar};USED;1
